t_ms,mode,phase,elapsed_s,target_c,measured_c,sensor_valid,error_c,p_term,i_term,d_term,pid_raw_pct,hard_cutoff,requested_heater_pct,applied_heater_pct,target_fan_pct,real_fan_pct,kp,ki,kd,protector_open,protector_trips,protector_ceiling_c
222195,MANUAL,IDLE,0,170.0,81.1,1,22.81,19.56,4.37,21.11,45.03,0,45,45,100,100,0.8576,0.0307,14.9737,0,2,103.9
223195,MANUAL,IDLE,0,170.0,80.1,1,23.87,20.47,5.10,19.37,44.93,0,45,45,100,100,0.8576,0.0307,14.9737,0,2,103.9
224195,MANUAL,IDLE,0,170.0,79.3,1,24.68,21.17,5.86,16.98,44.00,0,44,44,100,100,0.8576,0.0307,14.9737,0,2,103.9
225195,MANUAL,IDLE,0,170.0,78.6,1,25.30,21.69,6.63,14.39,42.71,0,43,43,100,100,0.8576,0.0307,14.9737,0,2,103.9
226195,MANUAL,IDLE,0,170.0,78.1,1,25.81,22.14,7.42,12.18,41.74,0,42,42,100,100,0.8576,0.0307,14.9737,0,2,103.9
227195,MANUAL,IDLE,0,170.0,77.9,1,26.09,22.37,8.23,9.49,40.09,0,40,40,100,100,0.8576,0.0307,14.9737,0,2,103.9
228195,MANUAL,IDLE,0,170.0,77.9,1,26.07,22.36,9.03,6.24,37.63,0,38,38,100,100,0.8576,0.0307,14.9737,0,2,103.9
229195,MANUAL,IDLE,0,170.0,78.0,1,25.95,22.26,9.82,3.57,35.65,0,36,36,100,100,0.8576,0.0307,14.9737,0,2,103.9
230195,MANUAL,IDLE,0,170.0,78.2,1,25.79,22.12,10.61,1.58,34.31,0,34,34,100,100,0.8576,0.0307,14.9737,0,2,103.9
231195,MANUAL,IDLE,0,170.0,78.7,1,25.25,21.65,11.39,-1.66,31.38,0,31,31,100,100,0.8576,0.0307,14.9737,0,2,103.9
232195,MANUAL,IDLE,0,170.0,79.3,1,24.62,21.11,12.14,-4.27,28.98,0,29,29,100,100,0.8576,0.0307,14.9737,0,2,103.9
233195,MANUAL,IDLE,0,170.0,80.0,1,23.98,20.56,12.88,-6.03,27.41,0,27,27,100,100,0.8576,0.0307,14.9737,0,2,103.9
234195,MANUAL,IDLE,0,170.0,80.5,1,23.42,20.08,13.60,-6.82,26.86,0,27,27,100,100,0.8576,0.0307,14.9737,0,2,103.9
235195,MANUAL,IDLE,0,170.0,81.1,1,22.82,19.57,14.30,-7.53,26.34,0,26,26,100,100,0.8576,0.0307,14.9737,0,2,103.9
236195,MANUAL,IDLE,0,170.0,81.9,1,22.09,18.95,14.98,-8.65,25.28,0,25,25,100,100,0.8576,0.0307,14.9737,0,2,103.9
237195,MANUAL,IDLE,0,170.0,82.8,1,21.18,18.17,15.63,-10.30,23.49,0,23,23,100,100,0.8576,0.0307,14.9737,0,2,103.9
238195,MANUAL,IDLE,0,170.0,83.5,1,20.42,17.51,16.26,-10.67,23.10,0,23,23,100,100,0.8576,0.0307,14.9737,0,2,103.9
239195,MANUAL,IDLE,0,170.0,84.3,1,19.67,16.87,16.86,-10.89,22.84,0,23,23,100,100,0.8576,0.0307,14.9737,0,2,103.9
240195,MANUAL,IDLE,0,170.0,85.0,1,18.96,16.26,17.44,-10.78,22.92,0,23,23,100,100,0.8576,0.0307,14.9737,0,2,103.9
241195,MANUAL,IDLE,0,170.0,85.8,1,18.11,15.53,18.00,-11.43,22.09,0,22,22,100,100,0.8576,0.0307,14.9737,0,2,103.9
242195,MANUAL,IDLE,0,170.0,86.5,1,17.43,14.95,18.53,-11.03,22.45,0,22,22,100,100,0.8576,0.0307,14.9737,0,2,103.9
243195,MANUAL,IDLE,0,170.0,87.1,1,16.89,14.48,19.05,-10.04,23.49,0,23,23,100,100,0.8576,0.0307,14.9737,0,2,103.9
244195,MANUAL,IDLE,0,170.0,87.6,1,16.37,14.03,19.55,-9.30,24.28,0,24,24,100,100,0.8576,0.0307,14.9737,0,2,103.9
245195,MANUAL,IDLE,0,170.0,88.0,1,15.95,13.68,20.04,-8.29,25.43,0,25,25,100,100,0.8576,0.0307,14.9737,0,2,103.9
246195,MANUAL,IDLE,0,170.0,88.4,1,15.51,13.30,20.52,-7.72,26.10,0,26,26,100,100,0.8576,0.0307,14.9737,0,2,103.9
247195,MANUAL,IDLE,0,170.0,88.7,1,15.20,13.03,20.98,-6.69,27.33,0,27,27,100,100,0.8576,0.0307,14.9737,0,2,103.9
248195,MANUAL,IDLE,0,170.0,89.0,1,14.98,12.84,21.44,-5.56,28.73,0,29,29,100,100,0.8576,0.0307,14.9737,0,2,103.9
249195,MANUAL,IDLE,0,170.0,89.0,1,14.98,12.85,21.90,-3.70,31.05,0,31,31,100,100,0.8576,0.0307,14.9737,0,2,103.9
250195,MANUAL,IDLE,0,170.0,89.1,1,14.81,12.70,22.36,-3.32,31.73,0,32,32,100,100,0.8576,0.0307,14.9737,0,2,103.9
251195,MANUAL,IDLE,0,170.0,89.2,1,14.70,12.60,22.81,-2.78,32.64,0,33,33,100,100,0.8576,0.0307,14.9737,0,2,103.9
252195,MANUAL,IDLE,0,170.0,89.5,1,14.48,12.41,23.25,-2.95,32.72,0,33,33,100,100,0.8576,0.0307,14.9737,0,2,103.9
253195,MANUAL,IDLE,0,170.0,89.5,1,14.46,12.40,23.70,-2.03,34.07,0,34,34,100,100,0.8576,0.0307,14.9737,0,2,103.9
